COD_CURSO,NOME_UNIDADE,NIVEL_CURSO,ANO,SEXO,INGRESSANTES,FORMADOS
408.EAD.05,Licenciatura em Educação do Campo/Distância/Agudo/RS,Graduação,TOTAL,M,27.0,5.0
408.EAD.05,Licenciatura em Educação do Campo/Distância/Agudo/RS,Graduação,TOTAL,F,37.0,7.0
408.EAD.06,Licenciatura em Educação do Campo/Distância/Balneário Pinhal/RS,Graduação,2019,M,11.0,0.0
408.EAD.06,Licenciatura em Educação do Campo/Distância/Balneário Pinhal/RS,Graduação,2019,F,32.0,0.0
408.EAD.06,Licenciatura em Educação do Campo/Distância/Balneário Pinhal/RS,Graduação,2022,M,0.0,4.0
408.EAD.06,Licenciatura em Educação do Campo/Distância/Balneário Pinhal/RS,Graduação,2022,F,0.0,14.0
408.EAD.06,Licenciatura em Educação do Campo/Distância/Balneário Pinhal/RS,Graduação,TOTAL,M,11.0,4.0
408.EAD.06,Licenciatura em Educação do Campo/Distância/Balneário Pinhal/RS,Graduação,TOTAL,F,32.0,14.0
408.EAD.12,Licenciatura em Educação do Campo/Distância/Canguçu/RS,Graduação,2022,M,7.0,0.0
408.EAD.12,Licenciatura em Educação do Campo/Distância/Canguçu/RS,Graduação,2022,F,18.0,0.0
408.EAD.12,Licenciatura em Educação do Campo/Distância/Canguçu/RS,Graduação,TOTAL,M,7.0,0.0
408.EAD.12,Licenciatura em Educação do Campo/Distância/Canguçu/RS,Graduação,TOTAL,F,18.0,0.0
408.EAD.03,Licenciatura em Educação do Campo/Distância/Cerro Largo/RS,Graduação,2017,M,12.0,0.0
408.EAD.03,Licenciatura em Educação do Campo/Distância/Cerro Largo/RS,Graduação,2017,F,26.0,0.0
408.EAD.03,Licenciatura em Educação do Campo/Distância/Cerro Largo/RS,Graduação,2018,M,2.0,0.0
408.EAD.03,Licenciatura em Educação do Campo/Distância/Cerro Largo/RS,Graduação,2018,F,4.0,0.0
408.EAD.03,Licenciatura em Educação do Campo/Distância/Cerro Largo/RS,Graduação,2020,M,0.0,4.0
408.EAD.03,Licenciatura em Educação do Campo/Distância/Cerro Largo/RS,Graduação,2020,F,0.0,8.0
408.EAD.03,Licenciatura em Educação do Campo/Distância/Cerro Largo/RS,Graduação,2021,F,0.0,2.0
408.EAD.03,Licenciatura em Educação do Campo/Distância/Cerro Largo/RS,Graduação,TOTAL,M,14.0,4.0
408.EAD.03,Licenciatura em Educação do Campo/Distância/Cerro Largo/RS,Graduação,TOTAL,F,30.0,10.0
408.EAD.10,Licenciatura em Educação do Campo/Distância/Encantado/RS,Graduação,2019,M,5.0,0.0
408.EAD.10,Licenciatura em Educação do Campo/Distância/Encantado/RS,Graduação,2019,F,20.0,0.0
408.EAD.10,Licenciatura em Educação do Campo/Distância/Encantado/RS,Graduação,2022,M,0.0,2.0
408.EAD.10,Licenciatura em Educação do Campo/Distância/Encantado/RS,Graduação,2022,F,0.0,12.0
408.EAD.10,Licenciatura em Educação do Campo/Distância/Encantado/RS,Graduação,2023,F,0.0,1.0
408.EAD.10,Licenciatura em Educação do Campo/Distância/Encantado/RS,Graduação,TOTAL,M,5.0,2.0
408.EAD.10,Licenciatura em Educação do Campo/Distância/Encantado/RS,Graduação,TOTAL,F,20.0,13.0
408.EAD.01,Licenciatura em Educação do Campo/Distância/Itaqui/RS,Graduação,2017,M,8.0,0.0
408.EAD.01,Licenciatura em Educação do Campo/Distância/Itaqui/RS,Graduação,2017,F,22.0,0.0
408.EAD.01,Licenciatura em Educação do Campo/Distância/Itaqui/RS,Graduação,2018,M,1.0,0.0
408.EAD.01,Licenciatura em Educação do Campo/Distância/Itaqui/RS,Graduação,2018,F,3.0,0.0
408.EAD.01,Licenciatura em Educação do Campo/Distância/Itaqui/RS,Graduação,2020,M,0.0,2.0
408.EAD.01,Licenciatura em Educação do Campo/Distância/Itaqui/RS,Graduação,2020,F,0.0,13.0
408.EAD.01,Licenciatura em Educação do Campo/Distância/Itaqui/RS,Graduação,2021,F,0.0,1.0
408.EAD.01,Licenciatura em Educação do Campo/Distância/Itaqui/RS,Graduação,TOTAL,M,9.0,2.0
408.EAD.01,Licenciatura em Educação do Campo/Distância/Itaqui/RS,Graduação,TOTAL,F,25.0,14.0
408.EAD.11,Licenciatura em Educação do Campo/Distância/Novo Hamburgo/RS,Graduação,2019,M,8.0,0.0
408.EAD.11,Licenciatura em Educação do Campo/Distância/Novo Hamburgo/RS,Graduação,2019,F,9.0,0.0
408.EAD.11,Licenciatura em Educação do Campo/Distância/Novo Hamburgo/RS,Graduação,2022,M,0.0,1.0
408.EAD.11,Licenciatura em Educação do Campo/Distância/Novo Hamburgo/RS,Graduação,2022,F,0.0,3.0
408.EAD.11,Licenciatura em Educação do Campo/Distância/Novo Hamburgo/RS,Graduação,TOTAL,M,8.0,1.0
408.EAD.11,Licenciatura em Educação do Campo/Distância/Novo Hamburgo/RS,Graduação,TOTAL,F,9.0,3.0
408.EAD.07,Licenciatura em Educação do Campo/Distância/Santana do Livramento/RS,Graduação,2019,M,10.0,0.0
408.EAD.07,Licenciatura em Educação do Campo/Distância/Santana do Livramento/RS,Graduação,2019,F,32.0,0.0
408.EAD.07,Licenciatura em Educação do Campo/Distância/Santana do Livramento/RS,Graduação,2022,M,0.0,2.0
408.EAD.07,Licenciatura em Educação do Campo/Distância/Santana do Livramento/RS,Graduação,2022,F,0.0,11.0
408.EAD.07,Licenciatura em Educação do Campo/Distância/Santana do Livramento/RS,Graduação,2023,M,0.0,1.0
