COD_CURSO,NOME_UNIDADE,NIVEL_CURSO,ANO,SEXO,INGRESSANTES,FORMADOS,CENTRO
135.EAD.13,Física - Licenciatura/Distância/Cachoeira do Sul/RS,Graduação,TOTAL,F,5.0,0.0,CCNE
135.EAD.13,Física - Licenciatura/Distância/Cachoeira do Sul/RS,Graduação,TOTAL,M,14.0,1.0,CCNE
135.EAD.16,Física - Licenciatura/Distância/Cruz Alta/RS,Graduação,2020,M,6.0,0.0,CCNE
135.EAD.16,Física - Licenciatura/Distância/Cruz Alta/RS,Graduação,2020,F,8.0,0.0,CCNE
135.EAD.16,Física - Licenciatura/Distância/Cruz Alta/RS,Graduação,2021,F,1.0,0.0,CCNE
135.EAD.16,Física - Licenciatura/Distância/Cruz Alta/RS,Graduação,2021,M,3.0,0.0,CCNE
135.EAD.16,Física - Licenciatura/Distância/Cruz Alta/RS,Graduação,TOTAL,F,9.0,0.0,CCNE
135.EAD.16,Física - Licenciatura/Distância/Cruz Alta/RS,Graduação,TOTAL,M,9.0,0.0,CCNE
135.EAD.01,Física - Licenciatura/Distância/Faxinal do Soturno/RS,Graduação,2014,M,2.0,0.0,CCNE
135.EAD.01,Física - Licenciatura/Distância/Faxinal do Soturno/RS,Graduação,2014,F,5.0,0.0,CCNE
135.EAD.01,Física - Licenciatura/Distância/Faxinal do Soturno/RS,Graduação,2018,F,0.0,2.0,CCNE
135.EAD.01,Física - Licenciatura/Distância/Faxinal do Soturno/RS,Graduação,2021,F,0.0,1.0,CCNE
135.EAD.01,Física - Licenciatura/Distância/Faxinal do Soturno/RS,Graduação,TOTAL,M,2.0,0.0,CCNE
135.EAD.01,Física - Licenciatura/Distância/Faxinal do Soturno/RS,Graduação,TOTAL,F,5.0,3.0,CCNE
135.EAD.15,Física - Licenciatura/Distância/Gramado/RS,Graduação,2020,F,3.0,0.0,CCNE
135.EAD.15,Física - Licenciatura/Distância/Gramado/RS,Graduação,2020,M,3.0,0.0,CCNE
135.EAD.15,Física - Licenciatura/Distância/Gramado/RS,Graduação,2021,M,1.0,0.0,CCNE
135.EAD.15,Física - Licenciatura/Distância/Gramado/RS,Graduação,TOTAL,F,3.0,0.0,CCNE
135.EAD.15,Física - Licenciatura/Distância/Gramado/RS,Graduação,TOTAL,M,4.0,0.0,CCNE
135.EAD.10,Física - Licenciatura/Distância/Itaqui/RS,Graduação,2014,M,1.0,0.0,CCNE
135.EAD.10,Física - Licenciatura/Distância/Itaqui/RS,Graduação,TOTAL,M,1.0,0.0,CCNE
135.EAD.14,Física - Licenciatura/Distância/Pinto Bandeira/RS,Graduação,2017,F,2.0,0.0,CCNE
135.EAD.14,Física - Licenciatura/Distância/Pinto Bandeira/RS,Graduação,2017,M,5.0,0.0,CCNE
135.EAD.14,Física - Licenciatura/Distância/Pinto Bandeira/RS,Graduação,TOTAL,F,2.0,0.0,CCNE
135.EAD.14,Física - Licenciatura/Distância/Pinto Bandeira/RS,Graduação,TOTAL,M,5.0,0.0,CCNE
135.EAD.03,Física - Licenciatura/Distância/Quaraí/RS,Graduação,2014,M,5.0,0.0,CCNE
135.EAD.03,Física - Licenciatura/Distância/Quaraí/RS,Graduação,2014,F,7.0,0.0,CCNE
135.EAD.03,Física - Licenciatura/Distância/Quaraí/RS,Graduação,2018,M,0.0,1.0,CCNE
135.EAD.03,Física - Licenciatura/Distância/Quaraí/RS,Graduação,2018,F,0.0,3.0,CCNE
135.EAD.03,Física - Licenciatura/Distância/Quaraí/RS,Graduação,TOTAL,M,5.0,1.0,CCNE
135.EAD.03,Física - Licenciatura/Distância/Quaraí/RS,Graduação,TOTAL,F,7.0,3.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,2014,F,7.0,0.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,2014,M,18.0,0.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,2015,M,1.0,0.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,2015,F,2.0,0.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,2016,M,0.0,2.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,2016,F,0.0,7.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,2017,F,13.0,0.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,2017,M,28.0,0.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,2018,M,0.0,1.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,2018,F,0.0,5.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,2019,M,0.0,2.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,2020,F,7.0,0.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,2020,M,13.0,0.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,2021,F,3.0,1.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,2021,M,3.0,1.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,2022,F,0.0,1.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,TOTAL,M,63.0,6.0,CCNE
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,TOTAL,F,32.0,14.0,CCNE
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,Graduação,2014,F,10.0,0.0,CCNE
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,Graduação,2014,M,12.0,0.0,CCNE
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,Graduação,2015,M,1.0,0.0,CCNE
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,Graduação,2016,F,0.0,2.0,CCNE
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,Graduação,2016,M,0.0,4.0,CCNE
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,Graduação,2017,M,13.0,0.0,CCNE
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,Graduação,2017,F,14.0,0.0,CCNE
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,Graduação,2018,M,0.0,1.0,CCNE
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,Graduação,2020,F,2.0,0.0,CCNE
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,Graduação,2020,M,5.0,0.0,CCNE
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,Graduação,2021,M,1.0,2.0,CCNE
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,Graduação,2021,F,1.0,5.0,CCNE
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,Graduação,TOTAL,F,27.0,7.0,CCNE
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,Graduação,TOTAL,M,32.0,7.0,CCNE
135.EAD.05,Física - Licenciatura/Distância/São Lourenço do Sul/RS,Graduação,2016,F,0.0,2.0,CCNE
135.EAD.05,Física - Licenciatura/Distância/São Lourenço do Sul/RS,Graduação,TOTAL,F,0.0,2.0,CCNE
135.EAD.02,Física - Licenciatura/Distância/Três de Maio/RS,Graduação,2016,F,0.0,2.0,CCNE
135.EAD.02,Física - Licenciatura/Distância/Três de Maio/RS,Graduação,2016,M,0.0,2.0,CCNE
135.EAD.02,Física - Licenciatura/Distância/Três de Maio/RS,Graduação,2017,F,0.0,1.0,CCNE
135.EAD.02,Física - Licenciatura/Distância/Três de Maio/RS,Graduação,2020,M,11.0,0.0,CCNE
135.EAD.02,Física - Licenciatura/Distância/Três de Maio/RS,Graduação,2020,F,5.0,1.0,CCNE
135.EAD.02,Física - Licenciatura/Distância/Três de Maio/RS,Graduação,2021,M,1.0,0.0,CCNE
135.EAD.02,Física - Licenciatura/Distância/Três de Maio/RS,Graduação,TOTAL,M,12.0,2.0,CCNE
135.EAD.02,Física - Licenciatura/Distância/Três de Maio/RS,Graduação,TOTAL,F,5.0,4.0,CCNE
122,Geografia - Bacharelado,Graduação,2014,F,5.0,5.0,CCNE
122,Geografia - Bacharelado,Graduação,2014,M,25.0,8.0,CCNE
122,Geografia - Bacharelado,Graduação,2015,F,23.0,4.0,CCNE
122,Geografia - Bacharelado,Graduação,2015,M,18.0,6.0,CCNE
122,Geografia - Bacharelado,Graduação,2016,F,13.0,1.0,CCNE
122,Geografia - Bacharelado,Graduação,2016,M,27.0,2.0,CCNE
122,Geografia - Bacharelado,Graduação,2017,F,9.0,3.0,CCNE
122,Geografia - Bacharelado,Graduação,2017,M,13.0,4.0,CCNE
122,Geografia - Bacharelado,Graduação,2018,F,17.0,2.0,CCNE
122,Geografia - Bacharelado,Graduação,2018,M,19.0,5.0,CCNE
122,Geografia - Bacharelado,Graduação,2019,F,8.0,6.0,CCNE
122,Geografia - Bacharelado,Graduação,2019,M,22.0,6.0,CCNE
122,Geografia - Bacharelado,Graduação,2020,F,20.0,0.0,CCNE
122,Geografia - Bacharelado,Graduação,2020,M,18.0,2.0,CCNE
122,Geografia - Bacharelado,Graduação,2021,F,11.0,2.0,CCNE
122,Geografia - Bacharelado,Graduação,2021,M,15.0,10.0,CCNE
122,Geografia - Bacharelado,Graduação,2022,F,8.0,4.0,CCNE
122,Geografia - Bacharelado,Graduação,2022,M,11.0,5.0,CCNE
122,Geografia - Bacharelado,Graduação,2023,M,21.0,4.0,CCNE
122,Geografia - Bacharelado,Graduação,2023,F,11.0,6.0,CCNE
122,Geografia - Bacharelado,Graduação,TOTAL,F,125.0,33.0,CCNE
122,Geografia - Bacharelado,Graduação,TOTAL,M,189.0,52.0,CCNE
121,Geografia - Licenciatura Plena,Graduação,2014,M,12.0,8.0,CCNE
121,Geografia - Licenciatura Plena,Graduação,2014,F,17.0,12.0,CCNE
121,Geografia - Licenciatura Plena,Graduação,2015,F,19.0,4.0,CCNE
121,Geografia - Licenciatura Plena,Graduação,2015,M,27.0,11.0,CCNE
121,Geografia - Licenciatura Plena,Graduação,2016,M,28.0,8.0,CCNE
121,Geografia - Licenciatura Plena,Graduação,2016,F,22.0,11.0,CCNE
121,Geografia - Licenciatura Plena,Graduação,2017,M,17.0,5.0,CCNE
121,Geografia - Licenciatura Plena,Graduação,2017,F,18.0,6.0,CCNE
121,Geografia - Licenciatura Plena,Graduação,2018,F,19.0,1.0,CCNE
121,Geografia - Licenciatura Plena,Graduação,2018,M,41.0,2.0,CCNE
121,Geografia - Licenciatura Plena,Graduação,2019,M,18.0,9.0,CCNE
121,Geografia - Licenciatura Plena,Graduação,2019,F,19.0,11.0,CCNE
121,Geografia - Licenciatura Plena,Graduação,2020,F,18.0,2.0,CCNE
121,Geografia - Licenciatura Plena,Graduação,2020,M,22.0,3.0,CCNE
121,Geografia - Licenciatura Plena,Graduação,2021,M,18.0,4.0,CCNE
