Ano,Semestre,Cód. Disciplina,Cód. Turma,Professor,Cód. Curso,Curso,Aprovado%,CancMatric%,Dispensado%,Não Concl.%,Repr.Freq%,Reprovado%,Tr.Parcial%,Aprovado,CancMatric,Dispensado,Não Concl.,Repr.Freq,Reprovado,Tr.Parcial,Total Alunos,Total %
2021,2. Semestre,D200888,15,P200218642,504,Ciências Econômicas - Noturno,48,0,0,0,0,44,8,25,0,0,0,0,23,4,52,100
2021,2. Semestre,D200888,T50REA,P394200218,305,Engenharia Química,81,0,0,0,0,19,0,17,0,0,0,0,4,0,21,100
2021,2. Semestre,D320199,13,A888402148380,313,Curso de Engenharia de Produção,68,7,7,2,0,16,0,30,3,3,1,0,7,0,44,100
2021,2. Semestre,D320199,17,A394200218642,305,Engenharia Química,56,9,6,6,0,22,0,18,3,2,2,0,7,0,32,99
2021,2. Semestre,D320199,18,A218148855402,311,Curso de Engenharia Acústica,26,5,0,3,0,67,0,10,2,0,1,0,26,0,39,101
2021,2. Semestre,D320199,19,A642946200380,402,Engenharia Florestal,40,0,3,0,0,53,3,12,0,1,0,0,16,1,30,99
2021,2. Semestre,D320199,T50REA,A292200218320,305,Engenharia Química,59,0,0,0,0,41,0,13,0,0,0,0,9,0,22,100
2021,2. Semestre,D320199,T50REA,A292200218320,315,Curso de Engenharia Aeroespacial,33,0,0,0,0,67,0,1,0,0,0,0,2,0,3,100
2021,2. Semestre,D320199,20,A292200218320,309,Curso de Engenharia Sanitária e Ambiental,9,3,3,3,0,82,0,3,1,1,1,0,27,0,33,100
2021,2. Semestre,D320200,10,B806642512402,315,Curso de Engenharia Aeroespacial,80,0,0,2,0,16,2,40,0,0,1,0,8,1,50,100
2021,2. Semestre,D320200,13,B888642512642,303,Engenharia Elétrica,56,0,0,0,0,44,0,25,0,0,0,0,20,0,45,100
2021,2. Semestre,D320200,15,B806642512402,109,Química - Licenciatura,62,0,0,0,0,34,3,18,0,0,0,0,10,1,29,99
2021,2. Semestre,D320200,17,B888642512642,305,Engenharia Química,64,0,0,0,0,33,3,25,0,0,0,0,13,1,39,100
2021,2. Semestre,D320200,T50REA,B200380461148,305,Engenharia Química,100,0,0,0,0,0,0,2,0,0,0,0,0,0,2,100
2021,2. Semestre,D320200,T50REA,B200380461148,313,Curso de Engenharia de Produção,39,0,0,9,0,48,4,9,0,0,2,0,11,1,23,100
2021,2. Semestre,D320200,T50REA,B200380461148,315,Curso de Engenharia Aeroespacial,0,0,0,0,0,100,0,0,0,0,0,0,2,0,2,100
2021,2. Semestre,D402855,CC,C292200218642,307,Ciência da Computação - Bacharelado,46,0,0,0,0,46,8,6,0,0,0,0,6,1,13,100
2021,2. Semestre,D402855,SI,C402380642148,314,Bacharelado em Sistemas de Informação,70,0,0,0,0,30,0,23,0,0,0,0,10,0,33,100
2021,2. Semestre,D888148,10,C380148380200,304,Engenharia Mecânica,48,4,4,4,0,40,0,12,1,1,1,0,10,0,25,100
2021,2. Semestre,D888148,11,C380148380200,304,Engenharia Mecânica,67,0,0,0,0,33,0,2,0,0,0,0,1,0,3,100
2021,2. Semestre,D888148,SI1,C380148200685,314,Bacharelado em Sistemas de Informação,41,9,9,5,0,36,0,9,2,2,1,0,8,0,22,100
2021,2. Semestre,D888148,CC1,C380148200685,307,Ciência da Computação - Bacharelado,40,0,0,0,0,60,0,2,0,0,0,0,3,0,5,100
2021,2. Semestre,D888148,CC2,C218200683888,307,Ciência da Computação - Bacharelado,20,0,0,0,0,80,0,1,0,0,0,0,4,0,5,100
2021,2. Semestre,D888148,SI2,C218200683888,314,Bacharelado em Sistemas de Informação,56,6,6,0,0,33,0,10,1,1,0,0,6,0,18,101
2021,2. Semestre,D888200,SI1,E978402380148,314,Bacharelado em Sistemas de Informação,43,9,0,4,0,43,0,10,2,0,1,0,10,0,23,99
2021,2. Semestre,D888200,CC1,E978402380148,307,Ciência da Computação - Bacharelado,40,0,0,0,0,40,20,2,0,0,0,0,2,1,5,100
2021,2. Semestre,D888200,CC2,E681200461218,307,Ciência da Computação - Bacharelado,40,0,0,0,0,40,20,2,0,0,0,0,2,1,5,100
2021,2. Semestre,D888200,SI2,E681200461218,314,Bacharelado em Sistemas de Informação,12,6,0,0,0,82,0,2,1,0,0,0,14,0,17,100
2022,1. Semestre,D200888,10,P512200642,123,Física - Bacharelado,36,0,0,0,36,21,7,5,0,0,0,5,3,1,14,100
2022,1. Semestre,D200888,11,P512200642,402,Engenharia Florestal,3,0,0,10,74,13,0,1,0,0,3,23,4,0,31,100
2022,1. Semestre,D200888,12,P148855320,110,Química Industrial,14,0,0,0,0,43,43,1,0,0,0,0,3,3,7,100
2022,1. Semestre,D200888,12,P148855320,133,Química - Bacharelado,0,0,0,0,0,100,0,0,0,0,0,0,12,0,12,100
2022,1. Semestre,D200888,13,P855200218,302,Engenharia Civil,33,2,7,0,20,39,0,15,1,3,0,9,18,0,46,101
2022,1. Semestre,D200888,14,P855200218,305,Engenharia Química,22,0,0,0,31,47,0,10,0,0,0,14,21,0,45,100
2022,1. Semestre,D200888,50,P512200642,313,Curso de Engenharia de Produção,0,0,0,0,0,92,8,0,0,0,0,0,12,1,13,100
2022,1. Semestre,D200888,15,P681200683,139,Curso de Bacharelado em Estatística - Noturno,35,0,6,0,59,0,0,6,0,1,0,10,0,0,17,100
2022,1. Semestre,D200888,16,P512200642,521,Ciências Econômicas - Diurno,5,0,0,0,65,30,0,2,0,0,0,28,13,0,43,100
2022,1. Semestre,D320199,10,A380683888642,303,Engenharia Elétrica,17,4,2,2,25,48,2,9,2,1,1,13,25,1,52,100
2022,1. Semestre,D320199,11,A681200461218,110,Química Industrial,14,5,0,0,14,57,10,3,1,0,0,3,12,2,21,100
2022,1. Semestre,D320199,11,A681200461218,133,Química - Bacharelado,5,10,0,0,25,50,10,1,2,0,0,5,10,2,20,100
2022,1. Semestre,D320199,12,AP681402512218,304,Engenharia Mecânica,47,5,0,0,0,49,0,20,2,0,0,0,21,0,43,101
2022,1. Semestre,D320199,13,A946200380642,307,Ciência da Computação - Bacharelado,46,2,2,0,20,30,0,21,1,1,0,9,14,0,46,100
2022,1. Semestre,D320199,14,A380200380642,302,Engenharia Civil,82,2,2,0,6,8,0,40,1,1,0,3,4,0,49,100
2022,1. Semestre,D320199,50,A380200380642,303,Engenharia Elétrica,10,0,0,0,0,86,5,2,0,0,0,0,18,1,21,101
2022,1. Semestre,D320199,50,A380200380642,305,Engenharia Química,0,0,0,0,0,100,0,0,0,0,0,0,1,0,1,100
2022,1. Semestre,D320199,50,A380200380642,311,Curso de Engenharia Acústica,0,0,0,0,0,100,0,0,0,0,0,0,1,0,1,100
2022,1. Semestre,D320199,15,A642946200380,315,Curso de Engenharia Aeroespacial,53,11,4,0,9,21,2,28,6,2,0,5,11,1,53,100
2022,1. Semestre,D320199,18,AP806642512402,109,Química - Licenciatura,30,6,0,0,0,64,0,10,2,0,0,0,21,0,33,100
2022,1. Semestre,D320199,19,A642946200380,402,Engenharia Florestal,35,8,0,0,22,32,3,13,3,0,0,8,12,1,37,100
2022,1. Semestre,D320199,20,AP806642512402,123,Física - Bacharelado,57,0,0,3,0,40,0,17,0,0,1,0,12,0,30,100
2022,1. Semestre,D320200,10,B888642512642,309,Curso de Engenharia Sanitária e Ambiental,33,0,0,7,40,13,7,5,0,0,1,6,2,1,15,100
